origin_station_id,destination_station_id,tap_in_time_start,tap_in_time_end,num_passengers
101,103,900,1800,1
101,103,3600,4500,1
101,103,10800,11700,1
101,103,11700,12600,1
101,103,12600,13500,1
101,103,13500,14400,1
101,103,18900,19800,2
101,103,25200,26100,6
101,103,26100,27000,8
101,103,27000,27900,11
101,103,27900,28800,7
101,103,28800,29700,6
101,103,29700,30600,3
101,103,30600,31500,6
101,103,31500,32400,6
101,103,33300,34200,3
101,103,34200,35100,1
101,103,36000,36900,2
101,103,36900,37800,3
101,103,37800,38700,4
101,103,38700,39600,4
101,103,39600,40500,1
101,103,40500,41400,3
101,103,41400,42300,2
101,103,43200,44100,1
101,103,45000,45900,1
101,103,45900,46800,1
101,103,47700,48600,3
101,103,48600,49500,1
101,103,49500,50400,1
101,103,50400,51300,5
101,103,51300,52200,1
101,103,52200,53100,1
101,103,53100,54000,4
101,103,54000,54900,1
101,103,54900,55800,3
101,103,55800,56700,3
101,103,56700,57600,2
101,103,57600,58500,1
101,103,58500,59400,2
101,103,59400,60300,4
101,103,60300,61200,4
101,103,61200,62100,6
101,103,62100,63000,7
101,103,63000,63900,5
101,103,63900,64800,3
101,103,64800,65700,1
101,103,65700,66600,1
101,103,66600,67500,1
101,103,68400,69300,2
101,103,69300,70200,3
101,103,70200,71100,2
101,103,71100,72000,1
101,103,72000,72900,3
101,103,72900,73800,2
101,103,74700,75600,1
101,103,75600,76500,3
101,103,76500,77400,1
101,103,78300,79200,1
101,103,80100,81000,2
101,103,81000,81900,1
101,103,83700,84600,1
101,105,900,1800,1
101,105,3600,4500,1
101,105,4500,5400,2
101,105,13500,14400,1
101,105,15300,16200,3
101,105,18000,18900,1
101,105,21600,22500,1
101,105,25200,26100,5
101,105,26100,27000,5
101,105,27000,27900,9
101,105,27900,28800,7
101,105,28800,29700,4
101,105,29700,30600,6
101,105,30600,31500,8
101,105,31500,32400,7
101,105,32400,33300,1
101,105,33300,34200,1
101,105,34200,35100,1
101,105,35100,36000,3
101,105,36000,36900,3
101,105,36900,37800,1
101,105,37800,38700,4
101,105,38700,39600,2
101,105,39600,40500,2
101,105,40500,41400,3
101,105,41400,42300,2
101,105,42300,43200,2
101,105,43200,44100,4
101,105,44100,45000,1
101,105,45000,45900,2
101,105,45900,46800,2
101,105,46800,47700,2
101,105,47700,48600,2
101,105,48600,49500,1
101,105,49500,50400,1
101,105,50400,51300,2
101,105,51300,52200,5
101,105,52200,53100,2
101,105,53100,54000,3
101,105,54000,54900,2
101,105,54900,55800,2
101,105,55800,56700,3
101,105,57600,58500,3
101,105,58500,59400,7
101,105,59400,60300,7
101,105,60300,61200,2
101,105,61200,62100,4
101,105,62100,63000,2
101,105,63000,63900,5
101,105,63900,64800,4
101,105,64800,65700,3
101,105,65700,66600,2
101,105,66600,67500,2
101,105,67500,68400,3
101,105,68400,69300,2
101,105,69300,70200,2
101,105,70200,71100,3
101,105,72900,73800,1
101,105,73800,74700,1
101,105,74700,75600,1
101,105,75600,76500,2
101,105,76500,77400,3
101,105,77400,78300,2
101,105,78300,79200,1
101,105,83700,84600,2
101,105,85500,86400,1
101,108,2700,3600,2
101,108,3600,4500,1
101,108,5400,6300,1
101,108,7200,8100,1
101,108,8100,9000,1
101,108,10800,11700,2
101,108,12600,13500,1
101,108,15300,16200,1
101,108,18000,18900,1
101,108,18900,19800,2
101,108,19800,20700,1
101,108,20700,21600,2
101,108,21600,22500,3
101,108,24300,25200,2
101,108,25200,26100,8
101,108,26100,27000,5
101,108,27000,27900,4
101,108,27900,28800,7
101,108,28800,29700,8
101,108,29700,30600,10
101,108,30600,31500,5
101,108,31500,32400,8
101,108,32400,33300,3
101,108,33300,34200,1
101,108,34200,35100,3
101,108,35100,36000,2
101,108,36000,36900,2
101,108,36900,37800,1
101,108,37800,38700,2
101,108,38700,39600,3
101,108,39600,40500,1
101,108,41400,42300,3
101,108,42300,43200,2
101,108,43200,44100,1
101,108,44100,45000,1
101,108,45900,46800,2
101,108,46800,47700,6
101,108,47700,48600,2
101,108,48600,49500,5
101,108,49500,50400,1
101,108,50400,51300,2
101,108,51300,52200,3
101,108,53100,54000,2
101,108,54000,54900,2
101,108,54900,55800,1
101,108,55800,56700,1
101,108,56700,57600,1
101,108,57600,58500,6
101,108,58500,59400,6
101,108,59400,60300,4
101,108,60300,61200,7
101,108,61200,62100,5
101,108,62100,63000,2
101,108,63000,63900,4
101,108,63900,64800,3
101,108,64800,65700,2
101,108,65700,66600,1
101,108,66600,67500,3
101,108,67500,68400,2
101,108,69300,70200,6
101,108,70200,71100,1
101,108,71100,72000,1
101,108,72900,73800,2
101,108,73800,74700,1
101,108,74700,75600,1
101,108,77400,78300,1
101,108,78300,79200,2
101,108,80100,81000,2
101,108,81000,81900,2
101,108,81900,82800,1
101,108,82800,83700,1
101,108,83700,84600,1
101,110,0,900,1
101,110,4500,5400,2
101,110,7200,8100,1
101,110,9000,9900,1
101,110,12600,13500,1
101,110,14400,15300,1
101,110,16200,17100,1
101,110,18000,18900,1
101,110,18900,19800,1
101,110,19800,20700,2
101,110,20700,21600,2
101,110,25200,26100,8
101,110,26100,27000,6
101,110,27000,27900,1
101,110,27900,28800,7
101,110,28800,29700,7
101,110,29700,30600,6
101,110,30600,31500,6
101,110,31500,32400,9
101,110,32400,33300,1
101,110,33300,34200,2
101,110,34200,35100,3
101,110,35100,36000,2
101,110,36000,36900,2
101,110,36900,37800,4
101,110,37800,38700,1
101,110,38700,39600,3
101,110,39600,40500,6
101,110,40500,41400,1
101,110,41400,42300,2
101,110,42300,43200,2
101,110,43200,44100,3
101,110,44100,45000,1
101,110,45000,45900,3
101,110,45900,46800,2
101,110,46800,47700,1
101,110,48600,49500,2
101,110,49500,50400,2
101,110,50400,51300,1
101,110,51300,52200,1
101,110,52200,53100,3
101,110,54000,54900,4
101,110,54900,55800,5
101,110,55800,56700,3
101,110,56700,57600,2
101,110,57600,58500,3
101,110,58500,59400,7
101,110,59400,60300,5
101,110,60300,61200,8
101,110,61200,62100,3
101,110,62100,63000,3
101,110,63000,63900,11
101,110,63900,64800,4
101,110,65700,66600,1
101,110,66600,67500,1
101,110,67500,68400,1
101,110,69300,70200,2
101,110,70200,71100,2
101,110,71100,72000,2
101,110,73800,74700,1
101,110,75600,76500,2
101,110,76500,77400,2
101,110,77400,78300,2
101,110,78300,79200,1
101,110,79200,80100,2
101,110,80100,81000,2
101,110,82800,83700,1
101,110,83700,84600,1
101,110,85500,86400,2
101,111,0,900,1
101,111,2700,3600,1
101,111,3600,4500,2
101,111,4500,5400,1
101,111,9000,9900,3
101,111,11700,12600,1
101,111,12600,13500,2
101,111,18900,19800,1
101,111,20700,21600,1
101,111,21600,22500,1
101,111,23400,24300,1
101,111,25200,26100,7
101,111,26100,27000,7
101,111,27000,27900,7
101,111,27900,28800,8
101,111,28800,29700,8
101,111,29700,30600,8
101,111,30600,31500,9
101,111,31500,32400,6
101,111,32400,33300,3
101,111,34200,35100,3
101,111,35100,36000,5
101,111,36000,36900,4
101,111,36900,37800,1
101,111,38700,39600,2
101,111,39600,40500,4
101,111,41400,42300,1
101,111,42300,43200,1
101,111,43200,44100,3
101,111,44100,45000,2
101,111,45000,45900,1
101,111,46800,47700,4
101,111,47700,48600,1
101,111,48600,49500,3
101,111,49500,50400,1
101,111,52200,53100,2
101,111,53100,54000,4
101,111,54000,54900,4
101,111,54900,55800,2
101,111,56700,57600,2
101,111,57600,58500,5
101,111,58500,59400,3
101,111,59400,60300,6
101,111,60300,61200,4
101,111,61200,62100,5
101,111,62100,63000,7
101,111,63000,63900,1
101,111,63900,64800,7
101,111,65700,66600,1
101,111,66600,67500,1
101,111,67500,68400,2
101,111,69300,70200,1
101,111,70200,71100,2
101,111,72000,72900,1
101,111,72900,73800,3
101,111,74700,75600,1
101,111,75600,76500,1
101,111,77400,78300,1
101,111,78300,79200,1
101,111,84600,85500,1
101,111,85500,86400,1
101,113,8100,9000,1
101,113,12600,13500,1
101,113,16200,17100,1
101,113,18000,18900,3
101,113,18900,19800,2
101,113,19800,20700,1
101,113,20700,21600,2
101,113,21600,22500,1
101,113,22500,23400,2
101,113,23400,24300,1
101,113,24300,25200,2
101,113,25200,26100,9
101,113,26100,27000,3
101,113,27000,27900,7
101,113,27900,28800,3
101,113,28800,29700,3
101,113,29700,30600,7
101,113,30600,31500,4
101,113,31500,32400,3
101,113,34200,35100,1
101,113,35100,36000,2
101,113,36000,36900,2
101,113,36900,37800,3
101,113,37800,38700,3
101,113,38700,39600,3
101,113,39600,40500,1
101,113,41400,42300,2
101,113,42300,43200,4
101,113,44100,45000,2
101,113,45000,45900,1
101,113,45900,46800,3
101,113,47700,48600,1
