event_id,line_id,direction_id,train_id,station_id,platform_id,event_timestamp,event_type
1,1,0,1_0_1,101,101_1_0,18000,Arrival
2,1,0,1_0_1,101,101_1_0,18060,Departure
3,1,0,1_0_1,103,103_1_0,18360,Arrival
4,1,0,1_0_1,103,103_1_0,18420,Departure
5,1,0,1_0_1,105,105_1_0,18720,Arrival
6,1,0,1_0_1,105,105_1_0,18780,Departure
7,1,0,1_0_1,108,108_1_0,19140,Arrival
8,1,0,1_0_1,108,108_1_0,19200,Departure
9,1,0,1_0_1,110,110_1_0,19440,Arrival
10,1,0,1_0_1,110,110_1_0,19500,Departure
11,1,0,1_0_1,111,111_1_0,19560,Arrival
12,1,0,1_0_1,111,111_1_0,19620,Departure
13,1,0,1_0_1,113,113_1_0,19800,Arrival
14,1,0,1_0_1,113,113_1_0,19860,Departure
15,1,0,1_0_1,116,116_1_0,20160,Arrival
16,1,0,1_0_1,116,116_1_0,20220,Departure
17,1,0,1_0_1,119,119_1_0,20580,Arrival
18,1,0,1_0_1,119,119_1_0,20640,Departure
19,1,0,1_0_1,122,122_1_0,21060,Arrival
20,1,0,1_0_1,122,122_1_0,21120,Departure
21,1,0,1_0_1,125,125_1_0,21540,Arrival
22,1,0,1_0_1,125,125_1_0,21600,Departure
23,1,0,1_0_1,128,128_1_0,21960,Arrival
24,1,0,1_0_1,128,128_1_0,22020,Departure
25,1,0,1_0_2,101,101_1_0,18390,Arrival
26,1,0,1_0_2,101,101_1_0,18450,Departure
27,1,0,1_0_2,103,103_1_0,18750,Arrival
28,1,0,1_0_2,103,103_1_0,18810,Departure
29,1,0,1_0_2,105,105_1_0,19110,Arrival
30,1,0,1_0_2,105,105_1_0,19170,Departure
31,1,0,1_0_2,108,108_1_0,19530,Arrival
32,1,0,1_0_2,108,108_1_0,19590,Departure
33,1,0,1_0_2,110,110_1_0,19830,Arrival
34,1,0,1_0_2,110,110_1_0,19890,Departure
35,1,0,1_0_2,111,111_1_0,19950,Arrival
36,1,0,1_0_2,111,111_1_0,20010,Departure
37,1,0,1_0_2,113,113_1_0,20190,Arrival
38,1,0,1_0_2,113,113_1_0,20250,Departure
39,1,0,1_0_2,116,116_1_0,20550,Arrival
40,1,0,1_0_2,116,116_1_0,20610,Departure
41,1,0,1_0_2,119,119_1_0,20970,Arrival
42,1,0,1_0_2,119,119_1_0,21030,Departure
43,1,0,1_0_2,122,122_1_0,21450,Arrival
44,1,0,1_0_2,122,122_1_0,21510,Departure
45,1,0,1_0_2,125,125_1_0,21930,Arrival
46,1,0,1_0_2,125,125_1_0,21990,Departure
47,1,0,1_0_2,128,128_1_0,22350,Arrival
48,1,0,1_0_2,128,128_1_0,22410,Departure
