station_id,line,direction,queue_len
101,1,0,0
101,1,1,0
103,1,0,0
103,1,1,0
105,3,0,0
105,3,1,0
105,1,0,0
105,1,1,0
108,4,0,0
108,4,1,0
108,1,0,0
108,1,1,0
110,1,0,0
110,1,1,0
111,1,0,0
111,1,1,0
113,2,0,0
113,2,1,0
113,1,0,0
113,1,1,0
116,1,0,0
116,1,1,0
116,3,0,0
116,3,1,0
119,1,0,0
119,1,1,0
122,1,0,0
122,1,1,0
125,1,0,0
125,1,1,0
128,1,0,0
128,1,1,0
202,2,0,0
202,2,1,0
204,2,0,0
204,2,1,0
206,2,0,0
206,2,1,0
208,3,0,0
208,3,1,0
208,2,0,4
208,2,1,0
210,2,0,0
210,2,1,0
213,2,0,0
213,2,1,0
214,2,0,0
214,2,1,0
216,2,0,0
216,2,1,0
219,2,0,0
219,2,1,0
303,3,0,0
303,3,1,0
305,4,0,0
305,4,1,0
305,3,0,0
305,3,1,0
310,3,0,0
310,3,1,0
316,3,0,0
316,3,1,0
321,3,0,0
321,3,1,0
325,3,0,0
325,3,1,0
329,3,0,0
329,3,1,0
909,4,0,0
909,4,1,0
913,4,0,0
913,4,1,0
918,4,0,0
918,4,1,0
919,4,0,0
919,4,1,0
921,4,0,0
921,4,1,0
922,4,0,0
922,4,1,0
925,4,0,0
925,4,1,0
926,4,0,0
926,4,1,0
928,4,0,0
928,4,1,0
