Line,Station name,Lat,Long,poprating,workrating,station id,station time
1,Xinzhuang,121.377211,31.114532,4,1,101,0
1,Waihuan Rd,121.388369,31.122813,4,1,102,3
1,Lianhua Rd,121.397381,31.133489,4,3,103,5
1,Jinjiang Park,121.409504,31.144038,4,1,104,8
1,South Station,121.421971,31.156702,5,2,105,11
1,Xujiahui,121.43446,31.196008,3,5,108,18
1,Changshu Rd,121.446905,31.214747,2,3,110,23
1,Shanxi S Rd,121.455102,31.219022,2,3,111,25
1,People's Square,121.471753,31.233885,3,5,113,29
1,Shanghai Railway Station,121.451283,31.250341,5,2,116,35
1,Circus World,121.447506,31.281302,3,3,119,42
1,Gongkang Rd,121.44212,31.321876,4,1,122,50
1,Gongfu Xincun,121.429267,31.35699,4,1,125,58
1,Fujin Rd,121.419933,31.39418,3,1,128,65
2,Hongqiao,121.318202,31.195935,2,1,202,3
2,Songhong Rd,121.35644,31.22016,2,2,204,12
2,Beixinjing,121.3691,31.218408,3,1,205,15
2,Weining Rd,121.381659,31.216852,3,2,206,17
2,Loushanguan Rd,121.396716,31.213435,3,2,207,20
2,Zhongshan Park,121.411049,31.21972,3,3,208,23
2,Jingansi,121.442571,31.223215,3,1,210,29
2,People's Square,121.470535,31.234438,3,1,113,34
2,Nanjing E Rd,121.480234,31.239362,3,1,213,36
2,Lujiazui,121.497561,31.24005,3,10,214,39
2,Century Av,121.534238,31.223738,2,10,216,44
2,Longyang Rd,121.554623,31.20513,2,10,219,52
2,Guanglan Rd,121.616898,31.213102,3,2,222,62
2,Chuansha,121.693647,31.188813,4,1,226,78
2,Pudong Airport,121.80174,31.152424,5,3,230,96
3,South Station,121.426735,31.155316,5,2,105,0
3,Longcao Rd,121.439835,31.171299,3,1,303,6
3,Yishan Rd,121.42269,31.188482,2,3,305,10
3,Zhongshan Park,121.411283,31.21849,3,3,208,17
3,Caoyang Rd,121.413104,31.241178,2,2,310,22
3,Shanghai Railway Station,121.453238,31.251694,5,2,116,29
3,Hongkou Stadium,121.474639,31.273283,3,4,316,37
3,Changjiang S Rd,121.487111,31.334049,3,1,321,49
3,Shuichan Rd,121.483823,31.383263,3,2,325,59
3,Jiangyang N Rd,121.435238,31.409679,2,2,329,70
4,Songjiang Station,121.226395,30.986964,2,1,901,0
4,Dongjing,121.226513,31.088369,2,2,906,17
4,Jiuting,121.31537,31.139504,2,2,909,31
4,Qibao,121.344981,31.15729,2,2,911,37
4,Hechuan Rd,121.380172,31.168389,2,1,913,43
4,Yishan Rd,121.42284,31.186225,2,1,305,51
4,Xujiahui,121.43402,31.196816,2,1,108,53
4,Zhaojiabang Rd,121.445864,31.201423,2,2,918,56
4,Jiashan Rd,121.456347,31.204763,3,1,919,58
4,Madang Rd,121.471925,31.211012,3,2,921,62
4,Lujiabang Rd,121.481538,31.213866,3,2,922,64
4,Century Av,121.522415,31.230454,2,7,216,72
4,Yanggao M Rd,121.544366,31.229885,2,8,926,75
4,Lantian Rd,121.573688,31.243159,2,3,928,80
4,Jinhai Rd,121.635025,31.266208,2,3,932,91
4,Caolu,121.678423,31.273361,3,3,935,98
