from_station,to_station,cumulated_travel_time,direction,origin,destination
101_1,103_1,5.0,0,101_1,103_1
101_1,103_1,5.0,0,101_1,105_1
103_1,105_1,11.0,0,101_1,105_1
101_1,103_1,5.0,0,101_1,108_1
103_1,105_1,11.0,0,101_1,108_1
105_1,108_1,18.0,0,101_1,108_1
101_1,103_1,5.0,0,101_1,105_3
103_1,105_1,11.0,0,101_1,105_3
105_1,105_3,13.0,2,101_1,105_3
101_1,103_1,5.0,0,101_1,303_3
103_1,105_1,11.0,0,101_1,303_3
105_1,105_3,13.0,2,101_1,303_3
105_3,303_3,19.0,0,101_1,303_3
101_1,103_1,5.0,0,101_1,110_1
103_1,105_1,11.0,0,101_1,110_1
105_1,108_1,18.0,0,101_1,110_1
108_1,110_1,23.0,0,101_1,110_1
101_1,103_1,5.0,0,101_1,108_4
103_1,105_1,11.0,0,101_1,108_4
105_1,108_1,18.0,0,101_1,108_4
108_1,108_4,20.0,2,101_1,108_4
101_1,103_1,5.0,0,101_1,305_3
103_1,105_1,11.0,0,101_1,305_3
105_1,105_3,13.0,2,101_1,305_3
105_3,303_3,19.0,0,101_1,305_3
303_3,305_3,23.0,0,101_1,305_3
101_1,103_1,5.0,0,101_1,305_4
103_1,105_1,11.0,0,101_1,305_4
105_1,108_1,18.0,0,101_1,305_4
108_1,108_4,20.0,2,101_1,305_4
108_4,305_4,22.0,1,101_1,305_4
101_1,103_1,5.0,0,101_1,918_4
103_1,105_1,11.0,0,101_1,918_4
105_1,108_1,18.0,0,101_1,918_4
108_1,108_4,20.0,2,101_1,918_4
108_4,918_4,23.0,0,101_1,918_4
101_1,103_1,5.0,0,101_1,913_4
103_1,105_1,11.0,0,101_1,913_4
105_1,108_1,18.0,0,101_1,913_4
108_1,108_4,20.0,2,101_1,913_4
108_4,305_4,22.0,1,101_1,913_4
305_4,913_4,30.0,1,101_1,913_4
101_1,103_1,5.0,0,101_1,111_1
103_1,105_1,11.0,0,101_1,111_1
105_1,108_1,18.0,0,101_1,111_1
108_1,110_1,23.0,0,101_1,111_1
110_1,111_1,25.0,0,101_1,111_1
101_1,103_1,5.0,0,101_1,208_3
103_1,105_1,11.0,0,101_1,208_3
105_1,105_3,13.0,2,101_1,208_3
105_3,303_3,19.0,0,101_1,208_3
303_3,305_3,23.0,0,101_1,208_3
305_3,208_3,30.0,0,101_1,208_3
101_1,103_1,5.0,0,101_1,919_4
103_1,105_1,11.0,0,101_1,919_4
105_1,108_1,18.0,0,101_1,919_4
108_1,108_4,20.0,2,101_1,919_4
108_4,918_4,23.0,0,101_1,919_4
918_4,919_4,25.0,0,101_1,919_4
101_1,103_1,5.0,0,101_1,113_1
103_1,105_1,11.0,0,101_1,113_1
105_1,108_1,18.0,0,101_1,113_1
108_1,110_1,23.0,0,101_1,113_1
110_1,111_1,25.0,0,101_1,113_1
111_1,113_1,29.0,0,101_1,113_1
101_1,103_1,5.0,0,101_1,921_4
103_1,105_1,11.0,0,101_1,921_4
105_1,108_1,18.0,0,101_1,921_4
108_1,108_4,20.0,2,101_1,921_4
108_4,918_4,23.0,0,101_1,921_4
918_4,919_4,25.0,0,101_1,921_4
919_4,921_4,29.0,0,101_1,921_4
101_1,103_1,5.0,0,101_1,116_1
103_1,105_1,11.0,0,101_1,116_1
105_1,108_1,18.0,0,101_1,116_1
108_1,110_1,23.0,0,101_1,116_1
110_1,111_1,25.0,0,101_1,116_1
111_1,113_1,29.0,0,101_1,116_1
113_1,116_1,35.0,0,101_1,116_1
101_1,103_1,5.0,0,101_1,113_2
103_1,105_1,11.0,0,101_1,113_2
105_1,108_1,18.0,0,101_1,113_2
108_1,110_1,23.0,0,101_1,113_2
110_1,111_1,25.0,0,101_1,113_2
111_1,113_1,29.0,0,101_1,113_2
113_1,113_2,31.0,2,101_1,113_2
101_1,103_1,5.0,0,101_1,922_4
103_1,105_1,11.0,0,101_1,922_4
105_1,108_1,18.0,0,101_1,922_4
108_1,108_4,20.0,2,101_1,922_4
108_4,918_4,23.0,0,101_1,922_4
918_4,919_4,25.0,0,101_1,922_4
919_4,921_4,29.0,0,101_1,922_4
921_4,922_4,31.0,0,101_1,922_4
101_1,103_1,5.0,0,101_1,909_4
103_1,105_1,11.0,0,101_1,909_4
105_1,108_1,18.0,0,101_1,909_4
108_1,108_4,20.0,2,101_1,909_4
108_4,305_4,22.0,1,101_1,909_4
305_4,913_4,30.0,1,101_1,909_4
913_4,909_4,42.0,1,101_1,909_4
101_1,103_1,5.0,0,101_1,310_3
