platform_id,station_line_id,station_id,line_id,direction_id,station_name,lat,lon,stop_seq
101_1_0,101_1,101,1,0,Xinzhuang,121.377211,31.114532,1
103_1_0,103_1,103,1,0,Lianhua Rd,121.397381,31.133489,2
105_1_0,105_1,105,1,0,South Station,121.421971,31.156702,3
108_1_0,108_1,108,1,0,Xujiahui,121.43446,31.196008,4
110_1_0,110_1,110,1,0,Changshu Rd,121.446905,31.214747,5
111_1_0,111_1,111,1,0,Shanxi S Rd,121.455102,31.219022,6
113_1_0,113_1,113,1,0,People's Square,121.471753,31.233885,7
116_1_0,116_1,116,1,0,Station,121.451283,31.250341,8
119_1_0,119_1,119,1,0,Circus World,121.447506,31.281302,9
122_1_0,122_1,122,1,0,Gongkang Rd,121.44212,31.321876,10
125_1_0,125_1,125,1,0,Gongfu Xincun,121.429267,31.35699,11
128_1_0,128_1,128,1,0,Fujin Rd,121.419933,31.39418,12
128_1_1,128_1,128,1,1,Fujin Rd,121.419933,31.39418,1
125_1_1,125_1,125,1,1,Gongfu Xincun,121.429267,31.35699,2
122_1_1,122_1,122,1,1,Gongkang Rd,121.44212,31.321876,3
119_1_1,119_1,119,1,1,Circus World,121.447506,31.281302,4
116_1_1,116_1,116,1,1,Station,121.451283,31.250341,5
113_1_1,113_1,113,1,1,People's Square,121.471753,31.233885,6
111_1_1,111_1,111,1,1,Shanxi S Rd,121.455102,31.219022,7
110_1_1,110_1,110,1,1,Changshu Rd,121.446905,31.214747,8
108_1_1,108_1,108,1,1,Xujiahui,121.43446,31.196008,9
105_1_1,105_1,105,1,1,South Station,121.421971,31.156702,10
103_1_1,103_1,103,1,1,Lianhua Rd,121.397381,31.133489,11
101_1_1,101_1,101,1,1,Xinzhuang,121.377211,31.114532,12
202_2_0,202_2,202,2,0,Hongqiao,121.318202,31.195935,1
204_2_0,204_2,204,2,0,Songhong Rd,121.35644,31.22016,2
206_2_0,206_2,206,2,0,Weining Rd,121.381659,31.216852,3
208_2_0,208_2,208,2,0,Zhongshan Park,121.411049,31.21972,4
210_2_0,210_2,210,2,0,Jingansi,121.442571,31.223215,5
113_2_0,113_2,113,2,0,People's Square,121.470535,31.234438,6
213_2_0,213_2,213,2,0,Nanjing E Rd,121.480234,31.239362,7
214_2_0,214_2,214,2,0,Lujiazui,121.497561,31.24005,8
216_2_0,216_2,216,2,0,Century Av,121.534238,31.223738,9
219_2_0,219_2,219,2,0,Longyang Rd,121.554623,31.20513,10
219_2_1,219_2,219,2,1,Longyang Rd,121.554623,31.20513,1
216_2_1,216_2,216,2,1,Century Av,121.534238,31.223738,2
214_2_1,214_2,214,2,1,Lujiazui,121.497561,31.24005,3
213_2_1,213_2,213,2,1,Nanjing E Rd,121.480234,31.239362,4
113_2_1,113_2,113,2,1,People's Square,121.470535,31.234438,5
210_2_1,210_2,210,2,1,Jingansi,121.442571,31.223215,6
208_2_1,208_2,208,2,1,Zhongshan Park,121.411049,31.21972,7
206_2_1,206_2,206,2,1,Weining Rd,121.381659,31.216852,8
204_2_1,204_2,204,2,1,Songhong Rd,121.35644,31.22016,9
202_2_1,202_2,202,2,1,Hongqiao,121.318202,31.195935,10
105_3_0,105_3,105,3,0,South Station,121.426735,31.155316,1
303_3_0,303_3,303,3,0,Longcao Rd,121.439835,31.171299,2
305_3_0,305_3,305,3,0,Yishan Rd,121.42269,31.188482,3
208_3_0,208_3,208,3,0,Zhongshan Park,121.411283,31.21849,4
310_3_0,310_3,310,3,0,Caoyang Rd,121.413104,31.241178,5
116_3_0,116_3,116,3,0,Station,121.453238,31.251694,6
316_3_0,316_3,316,3,0,Hongkou Stadium,121.474639,31.273283,7
321_3_0,321_3,321,3,0,Changjiang S Rd,121.487111,31.334049,8
325_3_0,325_3,325,3,0,Shuichan Rd,121.483823,31.383263,9
329_3_0,329_3,329,3,0,Jiangyang N Rd,121.435238,31.409679,10
329_3_1,329_3,329,3,1,Jiangyang N Rd,121.435238,31.409679,1
325_3_1,325_3,325,3,1,Shuichan Rd,121.483823,31.383263,2
321_3_1,321_3,321,3,1,Changjiang S Rd,121.487111,31.334049,3
316_3_1,316_3,316,3,1,Hongkou Stadium,121.474639,31.273283,4
116_3_1,116_3,116,3,1,Station,121.453238,31.251694,5
310_3_1,310_3,310,3,1,Caoyang Rd,121.413104,31.241178,6
208_3_1,208_3,208,3,1,Zhongshan Park,121.411283,31.21849,7
305_3_1,305_3,305,3,1,Yishan Rd,121.42269,31.188482,8
303_3_1,303_3,303,3,1,Longcao Rd,121.439835,31.171299,9
105_3_1,105_3,105,3,1,South Station,121.426735,31.155316,10
909_4_0,909_4,909,4,0,Jiuting,121.31537,31.139504,1
913_4_0,913_4,913,4,0,Hechuan Rd,121.380172,31.168389,2
305_4_0,305_4,305,4,0,Yishan Rd,121.42284,31.186225,3
108_4_0,108_4,108,4,0,Xujiahui,121.43402,31.196816,4
918_4_0,918_4,918,4,0,Zhaojiabang Rd,121.445864,31.201423,5
919_4_0,919_4,919,4,0,Jiashan Rd,121.456347,31.204763,6
921_4_0,921_4,921,4,0,Madang Rd,121.471925,31.211012,7
922_4_0,922_4,922,4,0,Lujiabang Rd,121.481538,31.213866,8
925_4_0,925_4,925,4,0,Century Av,121.522415,31.230454,9
926_4_0,926_4,926,4,0,Yanggao M Rd,121.544366,31.229885,10
928_4_0,928_4,928,4,0,Lantian Rd,121.573688,31.243159,11
928_4_1,928_4,928,4,1,Lantian Rd,121.573688,31.243159,1
926_4_1,926_4,926,4,1,Yanggao M Rd,121.544366,31.229885,2
925_4_1,925_4,925,4,1,Century Av,121.522415,31.230454,3
922_4_1,922_4,922,4,1,Lujiabang Rd,121.481538,31.213866,4
921_4_1,921_4,921,4,1,Madang Rd,121.471925,31.211012,5
919_4_1,919_4,919,4,1,Jiashan Rd,121.456347,31.204763,6
918_4_1,918_4,918,4,1,Zhaojiabang Rd,121.445864,31.201423,7
108_4_1,108_4,108,4,1,Xujiahui,121.43402,31.196816,8
305_4_1,305_4,305,4,1,Yishan Rd,121.42284,31.186225,9
913_4_1,913_4,913,4,1,Hechuan Rd,121.380172,31.168389,10
909_4_1,909_4,909,4,1,Jiuting,121.31537,31.139504,11
