passenger_id,boarding_platform,left_behind_times
123575,214_2_0,0
126089,214_2_0,0
125917,214_2_0,0
21513,108_4_0,0
24119,108_4_0,0
24655,108_4_0,0
24479,108_4_0,0
106623,208_3_1,0
84882,202_2_1,0
83503,202_2_1,0
41162,113_2_1,0
233183,925_4_0,0
223426,922_4_1,0
224525,922_4_1,0
221705,922_4_1,0
222826,922_4_1,0
161559,316_3_0,0
162138,316_3_0,0
174438,321_3_1,0
167952,321_3_1,0
173472,321_3_1,0
169981,321_3_1,0
52926,116_3_1,0
159844,310_3_1,0
156883,310_3_1,0
158220,310_3_1,0
160447,310_3_1,0
101888,208_2_0,0
106803,208_3_0,0
218456,921_4_1,0
218654,921_4_1,0
148623,305_3_0,0
153588,305_3_0,0
25210,108_4_1,0
26508,108_4_1,0
23165,108_4_1,0
21318,108_4_1,0
94948,206_2_0,0
95310,206_2_0,0
94047,206_2_0,0
99967,206_2_0,0
99394,206_2_0,0
98306,206_2_0,0
100580,206_2_0,0
151062,305_4_0,0
154313,305_4_0,0
40824,113_1_1,0
46021,113_1_1,0
43633,113_1_1,0
41741,113_1_1,0
41161,113_1_1,0
104170,208_2_1,0
106990,208_2_1,0
42128,113_1_0,0
40629,113_1_0,0
57106,119_1_0,0
55446,119_1_0,0
55078,119_1_0,0
58075,119_1_0,0
58620,119_1_0,0
55973,119_1_0,0
60212,119_1_0,0
57107,119_1_0,0
54372,119_1_0,0
141162,303_3_1,0
145822,303_3_1,0
147702,303_3_1,0
141504,303_3_1,0
144489,303_3_1,0
145050,303_3_1,0
141666,303_3_1,0
34192,111_1_1,0
37053,111_1_1,0
38941,111_1_1,0
34954,111_1_1,0
35316,111_1_1,0
35145,111_1_1,0
36671,111_1_1,0
40055,111_1_1,0
37231,111_1_1,0
114665,213_2_0,0
114869,213_2_0,0
120058,213_2_0,0
119870,213_2_0,0
119685,213_2_0,0
119331,213_2_0,0
115969,213_2_0,0
196975,913_4_0,0
198460,913_4_0,0
199946,913_4_0,0
199757,913_4_0,0
201258,913_4_0,0
199014,913_4_0,0
195313,913_4_0,0
198241,913_4_0,0
197346,913_4_0,0
230051,925_4_1,0
229256,925_4_1,0
233005,925_4_1,0
233905,925_4_1,0
231324,925_4_1,0
230227,925_4_1,0
232627,925_4_1,0
22777,108_4_1,0
29117,110_1_0,0
29852,110_1_0,0
31426,110_1_0,0
27764,110_1_0,0
29688,110_1_0,0
28533,110_1_0,0
30990,110_1_0,0
27590,110_1_0,0
240095,926_4_0,0
235950,926_4_0,0
239365,926_4_0,0
238775,926_4_0,0
235185,926_4_0,0
240679,926_4_0,0
235951,926_4_0,0
240680,926_4_0,0
239163,926_4_0,0
240681,926_4_0,0
237752,926_4_0,0
239162,926_4_0,0
95865,206_2_1,0
96246,206_2_1,0
95673,206_2_1,0
61900,122_1_0,0
62454,122_1_0,0
62083,122_1_0,0
61901,122_1_0,0
65214,122_1_0,0
64275,122_1_0,0
66395,122_1_0,0
63920,122_1_0,0
66781,122_1_0,0
62452,122_1_0,0
65213,122_1_0,0
66212,122_1_0,0
61521,122_1_0,0
66780,122_1_0,0
65824,122_1_0,0
204541,918_4_1,0
204542,918_4_1,0
206366,918_4_1,0
202717,918_4_1,0
206740,918_4_1,0
205823,918_4_1,0
205824,918_4_1,0
204023,918_4_1,0
203489,918_4_1,0
205431,918_4_1,0
202165,918_4_1,0
203490,918_4_1,0
207472,918_4_1,0
204022,918_4_1,0
204359,918_4_1,0
10813,103_1_1,0
7724,103_1_1,0
11012,103_1_1,0
8346,103_1_1,0
7539,103_1_1,0
8347,103_1_1,0
7916,103_1_1,0
8539,103_1_1,0
7174,103_1_1,0
10812,103_1_1,0
7726,103_1_1,0
212624,919_4_0,0
208380,919_4_0,0
213620,919_4_0,0
210626,919_4_0,0
213225,919_4_0,0
208045,919_4_0,0
213019,919_4_0,0
213827,919_4_0,0
210990,919_4_0,0
212063,919_4_0,0
209139,919_4_0,0
214219,919_4_0,0
209489,919_4_0,0
208381,919_4_0,0
46959,113_2_0,0
43792,113_2_0,0
44947,113_2_0,0
18172,105_1_0,0
17983,105_1_0,0
15530,105_1_0,0
14998,105_1_0,0
19279,105_1_0,0
19644,105_1_0,0
13849,105_1_0,0
17453,105_1_0,0
18171,105_1_0,0
19088,105_1_0,0
14434,105_1_0,0
15748,105_1_0,0
60379,119_1_1,0
59228,119_1_1,0
57690,119_1_1,0
57692,119_1_1,0
15351,105_1_1,0
1295,101_1_1,0
4793,101_1_1,0
1827,101_1_1,0
6254,101_1_1,0
3502,101_1_1,0
4266,101_1_1,0
1294,101_1_1,0
4794,101_1_1,0
2776,101_1_1,0
4986,101_1_1,0
4792,101_1_1,0
5714,101_1_1,0
4985,101_1_1,0
3711,101_1_1,0
6423,101_1_1,0
4626,101_1_1,0
569,101_1_1,0
2956,101_1_1,0
568,101_1_1,0
131573,216_2_0,0
129153,216_2_0,0
131757,216_2_0,0
132485,216_2_0,0
132109,216_2_0,0
132860,216_2_0,0
128214,216_2_0,0
132656,216_2_0,0
130629,216_2_0,0
134020,216_2_0,0
131923,216_2_0,0
128393,216_2_0,0
10258,103_1_0,0
10428,103_1_0,0
9642,103_1_0,0
11829,103_1_0,0
90893,204_2_0,0
92341,204_2_0,0
93864,204_2_0,0
91794,204_2_0,0
90895,204_2_0,0
91085,204_2_0,0
89246,204_2_0,0
89424,204_2_0,0
90357,204_2_0,0
91960,204_2_0,0
93298,204_2_0,0
125745,214_2_1,0
123042,214_2_1,0
124123,214_2_1,0
122669,214_2_1,0
122847,214_2_1,0
125744,214_2_1,0
126294,214_2_1,0
122478,214_2_1,0
125576,214_2_1,0
126480,214_2_1,0
122848,214_2_1,0
121927,214_2_1,0
126680,214_2_1,0
123382,214_2_1,0
126873,214_2_1,0
121010,214_2_1,0
124845,214_2_1,0
127488,214_2_1,0
121747,214_2_1,0
124124,214_2_1,0
23357,108_1_0,0
22591,108_1_0,0
22048,108_1_0,0
26120,108_1_0,0
24658,108_1_0,0
26507,108_1_0,0
174437,321_3_0,0
174074,321_3_0,0
170904,321_3_0,0
172908,321_3_0,0
174436,321_3_0,0
170744,321_3_0,0
171088,321_3_0,0
170541,321_3_0,0
171810,321_3_0,0
171990,321_3_0,0
169777,321_3_0,0
173096,321_3_0,0
156884,310_3_0,0
157408,310_3_0,0
158608,310_3_0,0
160815,310_3_0,0
156325,310_3_0,0
154892,310_3_0,0
155970,310_3_0,0
160448,310_3_0,0
160987,310_3_0,0
39687,111_1_0,0
38003,111_1_0,0
34193,111_1_0,0
34407,111_1_0,0
35146,111_1_0,0
34408,111_1_0,0
38006,111_1_0,0
33625,111_1_0,0
195493,913_4_1,0
198847,913_4_1,0
194752,913_4_1,0
134207,216_2_1,0
87767,204_2_1,0
90358,204_2_1,0
33229,110_1_1,0
29115,110_1_1,0
28126,110_1_1,0
32151,110_1_1,0
28536,110_1_1,0
27944,110_1_1,0
163064,316_3_1,0
164670,316_3_1,0
164850,316_3_1,0
166830,316_3_1,0
161932,316_3_1,0
165940,316_3_1,0
163283,316_3_1,0
140973,219_2_0,0
136457,219_2_0,0
136068,219_2_0,0
140429,219_2_0,0
140430,219_2_0,0
136456,219_2_0,0
139723,219_2_0,0
139911,219_2_0,0
137254,219_2_0,0
140431,219_2_0,0
138975,219_2_0,0
135532,219_2_0,0
135701,219_2_0,0
139552,219_2_0,0
139909,219_2_0,0
137040,219_2_0,0
138977,219_2_0,0
137039,219_2_0,0
138049,219_2_0,0
139551,219_2_0,0
138048,219_2_0,0
140428,219_2_0,0
63730,122_1_1,0
62837,122_1_1,0
65605,122_1_1,0
71149,125_1_0,0
67325,125_1_0,0
67907,125_1_0,0
67707,125_1_0,0
73336,125_1_0,0
70162,125_1_0,0
67326,125_1_0,0
69782,125_1_0,0
68488,125_1_0,0
67906,125_1_0,0
72062,125_1_0,0
111997,210_2_1,0
109217,210_2_1,0
108325,210_2_1,0
113505,210_2_1,0
110344,210_2_1,0
113122,210_2_1,0
111035,210_2_1,0
112388,210_2_1,0
111449,210_2_1,0
108324,210_2_1,0
111996,210_2_1,0
113894,210_2_1,0
108128,210_2_1,0
113893,210_2_1,0
108869,210_2_1,0
149399,305_4_1,0
151604,305_4_1,0
150507,305_4_1,0
147871,305_4_1,0
149177,305_4_1,0
153757,305_4_1,0
152700,305_4_1,0
149938,305_4_1,0
151603,305_4_1,0
149176,305_4_1,0
14049,105_3_1,0
16871,105_3_1,0
13648,105_3_1,0
18544,105_3_1,0
74443,128_1_0,0
76894,128_1_0,0
76893,128_1_0,0
80643,128_1_0,0
74809,128_1_0,0
80268,128_1_0,0
75922,128_1_0,0
78023,128_1_0,0
79331,128_1_0,0
80442,128_1_0,0
74096,128_1_0,0
79502,128_1_0,0
74279,128_1_0,0
77080,128_1_0,0
75923,128_1_0,0
79330,128_1_0,0
80443,128_1_0,0
77631,128_1_0,0
75397,128_1_0,0
78392,128_1_0,0
76892,128_1_0,0
67327,125_1_1,0
122479,214_2_0,0
126479,214_2_0,0
122668,214_2_0,0
125743,214_2_0,0
127264,214_2_0,0
127487,214_2_0,0
126872,214_2_0,0
147701,303_3_0,0
141353,303_3_0,0
146756,303_3_0,0
144667,303_3_0,0
145049,303_3_0,0
145217,303_3_0,0
145823,303_3_0,0
144665,303_3_0,0
144110,303_3_0,0
147511,303_3_0,0
146759,303_3_0,0
142840,303_3_0,0
146757,303_3_0,0
144666,303_3_0,0
120841,213_2_1,0
120059,213_2_1,0
114468,213_2_1,0
119332,213_2_1,0
116329,213_2_1,0
115434,213_2_1,0
116874,213_2_1,0
115617,213_2_1,0
115618,213_2_1,0
119159,213_2_1,0
117824,213_2_1,0
201446,918_4_0,0
205620,918_4_0,0
202718,918_4_0,0
205822,918_4_0,0
202006,918_4_0,0
207671,918_4_0,0
151789,305_3_1,0
153057,305_3_1,0
149939,305_3_1,0
150296,305_3_1,0
94047,208_3_1,0
99967,208_3_1,0
99394,208_3_1,0
100580,208_3_1,0
103806,208_3_1,0
103622,208_3_1,0
106802,208_3_1,0
103624,208_3_1,0
106434,208_3_1,0
103623,208_3_1,0
103807,208_3_1,0
104371,208_3_1,0
103985,208_3_1,0
102254,208_3_1,0
100935,208_3_1,0
103415,208_3_1,0
105485,208_3_1,0
175428,325_3_0,0
179766,325_3_0,0
178991,325_3_0,0
176015,325_3_0,0
178286,325_3_0,0
179963,325_3_0,0
177884,325_3_0,0
178463,325_3_0,0
177159,325_3_0,0
176617,325_3_0,0
179185,325_3_0,0
176210,325_3_0,0
179184,325_3_0,0
177520,325_3_0,0
177158,325_3_0,0
176786,325_3_0,0
178099,325_3_0,0
176211,325_3_0,0
177326,325_3_0,0
177518,325_3_0,0
175429,325_3_0,0
13850,105_3_0,0
19089,105_3_0,0
19277,105_3_0,0
83309,202_2_1,0
85823,202_2_1,0
86735,202_2_1,0
84304,202_2_1,0
85633,202_2_1,0
84306,202_2_1,0
83131,202_2_1,0
86382,202_2_1,0
80988,202_2_1,0
82926,202_2_1,0
80825,202_2_1,0
42129,113_2_1,0
40823,113_2_1,0
40630,113_2_1,0
46556,113_2_1,0
46387,113_2_1,0
42910,113_2_1,0
41548,113_2_1,0
41932,113_2_1,0
42544,113_2_1,0
43111,113_2_1,0
45121,113_2_1,0
161162,316_3_0,0
163066,316_3_0,0
167008,316_3_0,0
162478,316_3_0,0
167540,316_3_0,0
167950,321_3_1,0
170160,321_3_1,0
173292,321_3_1,0
170542,321_3_1,0
171087,321_3_1,0
173471,321_3_1,0
169778,321_3_1,0
171595,321_3_1,0
174435,321_3_1,0
170354,321_3_1,0
169410,321_3_1,0
155969,310_3_1,0
158009,310_3_1,0
156326,310_3_1,0
158421,310_3_1,0
160635,310_3_1,0
160986,310_3_1,0
158223,310_3_1,0
220214,921_4_0,0
215824,921_4_0,0
216198,921_4_0,0
214915,921_4_0,0
215091,921_4_0,0
216199,921_4_0,0
217319,921_4_0,0
220015,921_4_0,0
220213,921_4_0,0
218655,921_4_0,0
217869,921_4_0,0
218069,921_4_0,0
218874,921_4_0,0
216751,921_4_0,0
219244,921_4_0,0
215659,921_4_0,0
220777,921_4_0,0
235375,926_4_1,0
236679,926_4_1,0
236508,926_4_1,0
239731,926_4_1,0
237001,926_4_1,0
239366,926_4_1,0
247343,928_4_0,0
244211,928_4_0,0
245687,928_4_0,0
245309,928_4_0,0
243865,928_4_0,0
244753,928_4_0,0
243461,928_4_0,0
244575,928_4_0,0
241851,928_4_0,0
245866,928_4_0,0
247524,928_4_0,0
248114,928_4_0,0
243462,928_4_0,0
244576,928_4_0,0
247342,928_4_0,0
245686,928_4_0,0
242553,928_4_0,0
242552,928_4_0,0
242358,928_4_0,0
243666,928_4_0,0
243463,928_4_0,0
242915,928_4_0,0
208577,919_4_1,0
211519,919_4_1,0
212430,919_4_1,0
214389,919_4_1,0
208213,919_4_1,0
212625,919_4_1,0
212431,919_4_1,0
213018,919_4_1,0
210421,919_4_1,0
47901,116_3_0,0
48906,116_3_0,0
52550,116_3_0,0
47161,116_3_0,0
50904,116_3_0,0
50906,116_3_0,0
52548,116_3_0,0
49071,116_3_0,0
52547,116_3_0,0
53285,116_3_0,0
49250,116_3_0,0
51113,116_3_0,0
189563,909_4_1,0
193624,909_4_1,0
194013,909_4_1,0
189560,909_4_1,0
189751,909_4_1,0
189561,909_4_1,0
192895,909_4_1,0
194549,909_4_1,0
194177,909_4_1,0
192118,909_4_1,0
190652,909_4_1,0
190829,909_4_1,0
189926,909_4_1,0
194011,909_4_1,0
194180,909_4_1,0
192896,909_4_1,0
192298,909_4_1,0
194179,909_4_1,0
191389,909_4_1,0
191214,909_4_1,0
95310,208_3_0,0
98306,208_3_0,0
106991,208_3_0,0
52549,116_1_0,0
47526,116_1_0,0
47525,116_1_0,0
37631,111_1_1,0
34953,111_1_1,0
37629,111_1_1,0
35509,111_1_1,0
37230,111_1_1,0
34955,111_1_1,0
38004,111_1_1,0
36134,111_1_1,0
34590,111_1_1,0
35318,111_1_1,0
35714,111_1_1,0
46960,113_1_0,0
226331,922_4_1,0
221706,922_4_1,0
225791,922_4_1,0
