platform_id,timestamp,queue_length,queue_length_type,train_id
214_2_0,21630,3,Before Onboard,2_0_4
214_2_0,21630,0,After Onboard,2_0_4
303_3_0,21630,0,Before Onboard,3_0_8
303_3_0,21630,0,After Onboard,3_0_8
213_2_1,21630,0,Before Onboard,2_1_4
213_2_1,21630,0,After Onboard,2_1_4
108_4_0,21660,4,Before Onboard,4_0_7
108_4_0,21660,0,After Onboard,4_0_7
305_3_1,21660,0,Before Onboard,3_1_7
305_3_1,21660,0,After Onboard,3_1_7
208_3_1,21660,1,Before Onboard,3_1_5
208_3_1,21660,0,After Onboard,3_1_5
202_2_1,21660,2,Before Onboard,2_1_7
202_2_1,21660,0,After Onboard,2_1_7
113_2_1,21660,1,Before Onboard,2_1_9
113_2_1,21660,0,After Onboard,2_1_9
113_2_0,21660,0,Before Onboard,2_0_9
113_2_0,21660,0,After Onboard,2_0_9
925_4_0,21660,1,Before Onboard,4_0_3
925_4_0,21660,0,After Onboard,4_0_3
105_3_0,21660,0,Before Onboard,3_0_9
105_3_0,21660,0,After Onboard,3_0_9
922_4_1,21660,4,Before Onboard,4_1_3
922_4_1,21660,0,After Onboard,4_1_3
105_3_1,21660,0,Before Onboard,3_1_9
105_3_1,21660,0,After Onboard,3_1_9
325_3_0,21660,0,Before Onboard,3_0_1
325_3_0,21660,0,After Onboard,3_0_1
316_3_0,21660,2,Before Onboard,3_0_7
316_3_0,21660,0,After Onboard,3_0_7
321_3_1,21660,4,Before Onboard,3_1_1
321_3_1,21660,0,After Onboard,3_1_1
116_3_1,21690,1,Before Onboard,3_1_4
116_3_1,21690,0,After Onboard,3_1_4
116_3_0,21690,0,Before Onboard,3_0_4
116_3_0,21690,0,After Onboard,3_0_4
310_3_1,21690,4,Before Onboard,3_1_8
310_3_1,21690,0,After Onboard,3_1_8
208_2_0,21690,1,Before Onboard,2_0_6
208_2_0,21690,0,After Onboard,2_0_6
208_3_0,21720,1,Before Onboard,3_0_5
208_3_0,21720,0,After Onboard,3_0_5
921_4_1,21720,2,Before Onboard,4_1_4
921_4_1,21720,0,After Onboard,4_1_4
922_4_0,21720,0,Before Onboard,4_0_4
922_4_0,21720,0,After Onboard,4_0_4
305_3_0,21750,2,Before Onboard,3_0_6
305_3_0,21750,0,After Onboard,3_0_6
108_4_1,21780,4,Before Onboard,4_1_5
108_4_1,21780,0,After Onboard,4_1_5
925_4_1,21780,0,When Arrival,4_1_3
206_2_0,21780,7,Before Onboard,2_0_7
206_2_0,21780,0,After Onboard,2_0_7
305_4_0,21780,2,Before Onboard,4_0_5
305_4_0,21780,0,After Onboard,4_0_5
113_1_1,21780,5,Before Onboard,1_1_5
113_1_1,21780,0,After Onboard,1_1_5
116_1_0,21780,0,Before Onboard,1_0_5
