platform_id,timestamp,queue_length,queue_length_type,train_id
214_2_0,21630,3,Before Onboard,2_0_4
214_2_0,21630,0,After Onboard,2_0_4
303_3_0,21630,0,Before Onboard,3_0_8
303_3_0,21630,0,After Onboard,3_0_8
321_3_1,21630,1,Before Onboard,3_1_6
321_3_1,21630,0,After Onboard,3_1_6
325_3_0,21660,0,Before Onboard,3_0_1
325_3_0,21660,0,After Onboard,3_0_1
219_2_1,21660,2,Before Onboard,2_1_9
219_2_1,21660,0,After Onboard,2_1_9
105_3_0,21660,0,Before Onboard,3_0_9
105_3_0,21660,0,After Onboard,3_0_9
202_2_0,21660,2,Before Onboard,2_0_9
202_2_0,21660,0,After Onboard,2_0_9
206_2_0,21660,4,Before Onboard,2_0_7
206_2_0,21660,0,After Onboard,2_0_7
329_3_1,21660,3,Before Onboard,3_1_9
329_3_1,21660,0,After Onboard,3_1_9
925_4_0,21660,1,Before Onboard,4_0_3
925_4_0,21660,0,After Onboard,4_0_3
208_2_1,21660,1,Before Onboard,2_1_5
208_2_1,21660,0,After Onboard,2_1_5
116_3_0,21660,1,Before Onboard,3_0_5
116_3_0,21660,0,After Onboard,3_0_5
125_1_1,21660,1,Before Onboard,1_1_9
125_1_1,21660,0,After Onboard,1_1_9
926_4_1,21660,6,Before Onboard,4_1_7
926_4_1,21660,0,After Onboard,4_1_7
111_1_1,21690,3,Before Onboard,1_1_4
111_1_1,21690,0,After Onboard,1_1_4
310_3_0,21690,4,Before Onboard,3_0_6
310_3_0,21690,0,After Onboard,3_0_6
316_3_0,21690,4,Before Onboard,3_0_4
316_3_0,21690,0,After Onboard,3_0_4
922_4_0,21720,4,Before Onboard,4_0_4
922_4_0,21720,0,After Onboard,4_0_4
305_3_1,21720,1,Before Onboard,3_1_1
305_3_1,21720,0,After Onboard,3_1_1
108_1_1,21720,7,Before Onboard,1_1_3
108_1_1,21720,0,After Onboard,1_1_3
918_4_1,21720,8,Before Onboard,4_1_5
918_4_1,21720,0,After Onboard,4_1_5
103_1_1,21720,4,Before Onboard,1_1_1
103_1_1,21720,0,After Onboard,1_1_1
110_1_1,21750,0,When Arrival,1_1_4
105_1_1,21750,4,Before Onboard,1_1_2
105_1_1,21750,0,After Onboard,1_1_2
210_2_1,21750,7,Before Onboard,2_1_6
210_2_1,21750,0,After Onboard,2_1_6
216_2_1,21750,9,Before Onboard,2_1_8
216_2_1,21750,0,After Onboard,2_1_8
208_3_1,21750,2,Before Onboard,3_1_2
208_3_1,21750,0,After Onboard,3_1_2
122_1_1,21750,6,Before Onboard,1_1_8
122_1_1,21750,0,After Onboard,1_1_8
922_4_1,21780,2,Before Onboard,4_1_6
922_4_1,21780,0,After Onboard,4_1_6
926_4_0,21780,0,When Arrival,4_0_3
