train_id,timestamp,train_load_type,train_load,platform_id
1_0_1,18060,Departure,1,101_1_0
3_1_1,18060,Departure,2,105_3_1
2_1_1,18060,Departure,1,113_2_1
3_0_1,18060,Departure,0,105_3_0
2_0_1,18060,Departure,0,113_2_0
4_1_1,18060,Departure,1,108_4_1
4_0_1,18060,Departure,0,108_4_0
1_1_1,18060,Departure,0,101_1_1
4_1_1,18180,Arrival,1,305_4_1
2_0_1,18240,Departure,11,213_2_0
4_1_1,18240,Departure,12,305_4_1
4_0_1,18300,Departure,7,918_4_0
2_1_1,18360,Arrival,1,210_2_1
1_0_1,18360,Arrival,1,103_1_0
4_0_1,18360,Arrival,7,108_4_0
1_1_1,18420,Departure,11,101_1_1
1_0_1,18420,Departure,16,103_1_0
4_0_1,18420,Departure,15,108_4_0
2_1_1,18420,Departure,22,210_2_1
1_1_2,18450,Departure,2,101_1_1
1_0_2,18450,Departure,0,101_1_0
3_0_1,18480,Departure,15,303_3_0
3_1_1,18480,Arrival,2,310_3_1
3_1_2,18510,Departure,18,105_3_1
3_0_2,18510,Departure,0,105_3_0
2_1_2,18510,Departure,15,113_2_1
2_0_2,18510,Departure,0,113_2_0
3_1_1,18540,Departure,26,310_3_1
4_0_2,18600,Departure,10,108_4_0
4_1_2,18600,Departure,0,108_4_1
4_1_1,18660,Arrival,12,913_4_1
2_0_2,18690,Departure,19,213_2_0
1_1_1,18720,Arrival,11,103_1_1
2_0_1,18720,Arrival,11,204_2_0
1_0_1,18720,Arrival,16,105_1_0
4_1_1,18720,Departure,41,913_4_1
1_1_2,18750,Arrival,2,101_1_1
4_0_2,18780,Arrival,10,918_4_0
1_1_1,18780,Departure,22,103_1_1
1_0_1,18780,Departure,28,105_1_0
4_1_2,18780,Departure,20,305_4_1
2_0_1,18780,Departure,39,204_2_0
1_0_2,18810,Departure,1,103_1_0
1_1_2,18810,Departure,15,101_1_1
2_1_2,18810,Arrival,15,210_2_1
1_0_3,18840,Departure,1,101_1_0
1_1_3,18840,Departure,0,101_1_1
4_0_2,18840,Departure,34,918_4_0
2_1_2,18870,Departure,28,210_2_1
3_0_1,18900,Arrival,15,316_3_0
2_1_1,18900,Arrival,22,202_2_1
3_1_1,18900,Arrival,26,305_3_1
4_0_2,18900,Arrival,34,108_4_0
3_1_2,18930,Arrival,18,310_3_1
3_0_2,18930,Departure,15,303_3_0
3_0_1,18960,Departure,58,316_3_0
3_0_3,18960,Departure,7,105_3_0
3_1_3,18960,Departure,0,105_3_1
3_1_1,18960,Departure,25,305_3_1
4_0_2,18960,Departure,49,108_4_0
2_1_3,18960,Departure,25,113_2_1
2_0_3,18960,Departure,0,113_2_0
2_1_1,18960,Departure,62,202_2_1
3_1_2,18990,Departure,38,310_3_1
2_0_1,19020,Arrival,39,206_2_0
4_0_1,19080,Arrival,15,913_4_0
2_0_1,19080,Departure,88,206_2_0
1_0_2,19110,Arrival,1,105_1_0
1_1_2,19110,Arrival,15,103_1_1
2_0_3,19140,Departure,15,213_2_0
1_1_1,19140,Arrival,22,105_1_1
1_0_1,19140,Arrival,28,108_1_0
4_0_3,19140,Departure,21,108_4_0
1_0_3,19140,Arrival,1,103_1_0
4_1_3,19140,Departure,3,108_4_1
4_0_1,19140,Departure,34,913_4_0
2_0_2,19170,Arrival,19,204_2_0
1_0_2,19170,Departure,10,105_1_0
1_1_2,19170,Departure,33,103_1_1
1_0_1,19200,Departure,18,108_1_0
1_1_1,19200,Departure,21,105_1_1
1_1_3,19200,Departure,11,101_1_1
3_0_1,19200,Arrival,58,310_3_0
4_1_2,19200,Arrival,20,913_4_1
1_0_3,19200,Departure,1,103_1_0
2_1_1,19200,Arrival,62,204_2_1
2_0_2,19230,Departure,27,204_2_0
1_0_4,19230,Departure,7,101_1_0
1_1_4,19230,Departure,0,101_1_1
2_1_3,19260,Arrival,25,210_2_1
3_1_1,19260,Arrival,25,105_3_1
3_0_1,19260,Departure,67,310_3_0
4_1_3,19260,Arrival,3,305_4_1
2_1_1,19260,Departure,58,204_2_1
4_1_2,19260,Departure,25,913_4_1
3_0_3,19320,Arrival,7,303_3_0
2_1_3,19320,Departure,42,210_2_1
3_1_1,19320,Departure,25,105_3_1
4_1_3,19320,Departure,25,305_4_1
4_0_3,19320,Arrival,21,918_4_0
3_1_2,19350,Arrival,38,305_3_1
3_0_2,19350,Arrival,15,316_3_0
2_1_2,19350,Arrival,28,202_2_1
4_0_3,19380,Departure,40,918_4_0
4_1_1,19380,Arrival,41,909_4_1
