train_id,timestamp,train_load_type,train_load,platform_id
2_0_4,21630,Departure,3,214_2_0
3_0_8,21630,Departure,0,303_3_0
3_1_6,21630,Departure,1,321_3_1
3_0_1,21660,Departure,0,325_3_0
2_1_9,21660,Departure,2,219_2_1
3_0_9,21660,Departure,0,105_3_0
2_0_9,21660,Departure,2,202_2_0
2_0_7,21660,Departure,4,206_2_0
3_1_9,21660,Departure,3,329_3_1
4_0_3,21660,Departure,1,925_4_0
2_1_5,21660,Departure,1,208_2_1
3_0_5,21660,Departure,1,116_3_0
1_1_9,21660,Departure,1,125_1_1
4_1_7,21660,Departure,6,926_4_1
1_1_4,21690,Departure,3,111_1_1
3_0_6,21690,Departure,4,310_3_0
3_0_4,21690,Departure,4,316_3_0
4_0_4,21720,Departure,4,922_4_0
3_1_1,21720,Departure,1,305_3_1
1_1_3,21720,Departure,7,108_1_1
4_1_5,21720,Departure,8,918_4_1
1_1_1,21720,Departure,4,103_1_1
1_1_4,21750,Arrival,3,110_1_1
1_1_2,21750,Departure,4,105_1_1
2_1_6,21750,Departure,7,210_2_1
2_1_8,21750,Departure,9,216_2_1
3_1_2,21750,Departure,2,208_3_1
1_1_8,21750,Departure,6,122_1_1
4_1_6,21780,Departure,2,922_4_1
4_0_3,21780,Arrival,1,926_4_0
4_0_5,21780,Departure,2,918_4_0
2_0_5,21780,Departure,6,113_2_0
2_1_7,21780,Departure,6,213_2_1
1_0_5,21780,Departure,0,116_1_0
4_1_7,21780,Arrival,6,925_4_1
2_0_8,21810,Departure,8,204_2_0
1_1_4,21810,Departure,10,110_1_1
1_0_4,21810,Departure,9,119_1_0
1_0_6,21810,Departure,2,113_1_0
4_0_3,21840,Departure,7,926_4_0
1_1_7,21840,Departure,1,119_1_1
1_1_5,21840,Departure,0,113_1_1
3_0_7,21840,Departure,4,208_3_0
2_0_5,21840,Arrival,6,213_2_0
4_1_5,21840,Arrival,8,108_4_1
2_1_7,21840,Arrival,6,113_2_1
4_0_5,21840,Arrival,2,919_4_0
4_1_7,21840,Departure,13,925_4_1
4_0_8,21840,Departure,9,909_4_0
4_1_8,21840,Departure,5,928_4_1
4_1_6,21840,Arrival,2,921_4_1
1_0_7,21840,Departure,1,110_1_0
3_0_8,21870,Departure,7,305_3_0
2_0_4,21870,Arrival,3,216_2_0
2_1_4,21870,Departure,0,204_2_1
1_1_6,21870,Departure,0,116_1_1
4_1_5,21900,Departure,10,108_4_1
1_0_7,21900,Arrival,1,111_1_0
