passenger_id,trajectory_type,trajectory_time,trajectory_platform
27590,Boarding,21840,110_1_0
27590,Exit,21960,111_1_0
213827,Boarding,21900,919_4_0
213827,Exit,22140,921_4_0
158608,Boarding,21960,310_3_0
158608,Exit,22200,305_3_0
202006,Boarding,22080,918_4_0
202006,Exit,22200,108_4_0
27764,Boarding,21840,110_1_0
27764,Exit,22200,113_1_0
220777,Boarding,22140,921_4_0
220777,Exit,22260,922_4_0
13849,Boarding,21900,105_1_0
13849,Exit,22320,108_1_0
101888,Boarding,21690,208_2_0
101888,Exit,22350,113_2_0
234441,Boarding,22200,925_4_0
234441,Exit,22380,926_4_0
43792,Boarding,21900,113_2_0
43792,Exit,22380,216_2_0
82926,Boarding,22110,202_2_1
82926,Exit,22410,204_2_1
34590,Boarding,22200,111_1_1
34590,Exit,22560,113_1_1
143948,Boarding,22260,303_3_1
143948,Exit,22560,208_3_1
95310,Boarding,21780,206_2_0
95310,Transfer,22140,208_2_0
95310,Boarding,22170,208_3_0
95310,Exit,22590,116_3_0
27765,Boarding,22230,110_1_0
27765,Exit,22590,113_1_0
13851,Boarding,22320,105_1_1
13851,Exit,22620,108_1_1
22777,Boarding,21840,108_4_1
22777,Transfer,22020,305_4_1
22777,Boarding,22200,305_3_0
22777,Exit,22620,208_3_0
158607,Boarding,22410,310_3_0
158607,Exit,22650,305_3_0
55264,Boarding,22200,119_1_0
55264,Exit,22680,122_1_0
234620,Boarding,22200,925_4_0
234620,Exit,22680,928_4_0
234619,Boarding,22200,925_4_0
234619,Exit,22680,928_4_0
193624,Boarding,22140,909_4_1
193624,Exit,22680,919_4_1
41741,Boarding,21780,113_1_1
41741,Exit,22680,119_1_1
151789,Boarding,22110,305_3_1
151789,Exit,22710,303_3_1
7174,Boarding,21900,103_1_1
7174,Exit,22740,110_1_1
214219,Boarding,21900,919_4_0
214219,Exit,22740,925_4_0
29851,Boarding,22230,110_1_0
29851,Transfer,22590,113_1_0
29851,Boarding,22560,113_2_0
29851,Exit,22740,213_2_0
202007,Boarding,22620,918_4_0
202007,Exit,22740,108_4_0
