passenger_id,trajectory_type,trajectory_time,trajectory_platform
27590,Arrival,21840,110_1_0
27590,Boarding,21840,110_1_0
27590,Exit,21960,111_1_0
43633,Arrival,21780,113_2_0
43633,Boarding,21780,113_2_0
43633,Exit,22080,214_2_0
110344,Arrival,21750,210_2_1
110344,Boarding,21750,210_2_1
110344,Exit,22110,208_2_1
34192,Arrival,21690,111_1_1
34192,Boarding,21690,111_1_1
34192,Exit,22110,108_1_1
213827,Arrival,21900,919_4_0
213827,Boarding,21900,919_4_0
213827,Exit,22140,921_4_0
124123,Arrival,22050,214_2_1
124123,Boarding,22050,214_2_1
124123,Exit,22230,213_2_1
124124,Arrival,22050,214_2_1
124124,Boarding,22050,214_2_1
124124,Exit,22230,213_2_1
62083,Arrival,21750,122_1_1
62083,Boarding,21750,122_1_1
62083,Exit,22230,119_1_1
220777,Arrival,22140,921_4_0
220777,Boarding,22140,921_4_0
220777,Exit,22260,922_4_0
13849,Arrival,21900,105_1_0
13849,Boarding,21900,105_1_0
13849,Exit,22320,108_1_0
141504,Arrival,21960,303_3_1
141504,Boarding,21960,303_3_1
141504,Exit,22320,105_3_1
36671,Arrival,21960,111_1_0
36671,Boarding,21960,111_1_0
36671,Transfer,22200,113_2_0
36671,Boarding,22230,113_2_0
36671,Exit,22350,213_2_0
43447,Arrival,22230,113_2_0
43447,Boarding,22230,113_2_0
43447,Exit,22350,213_2_0
115434,Arrival,22230,213_2_1
115434,Boarding,22230,213_2_1
115434,Exit,22350,113_2_1
115435,Arrival,22230,213_2_1
115435,Boarding,22230,213_2_1
115435,Exit,22350,113_2_1
234441,Arrival,22200,925_4_0
234441,Boarding,22200,925_4_0
234441,Exit,22380,926_4_0
103624,Arrival,22020,208_2_0
103624,Boarding,22020,208_2_0
103624,Exit,22380,210_2_0
103623,Arrival,22020,208_2_0
103623,Boarding,22020,208_2_0
103623,Exit,22380,210_2_0
151789,Arrival,22170,305_3_1
151789,Boarding,22170,305_3_1
151789,Exit,22410,303_3_1
208577,Arrival,22140,919_4_1
208577,Boarding,22140,919_4_1
208577,Exit,22440,108_4_1
